2024-05-25 09:41:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 755 flow
2024-05-25 09:41:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 755 flow
2024-05-25 09:42:18 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 763 flow
2024-05-25 09:42:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 765 flow
2024-05-25 09:42:19 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 767 flow
2024-05-25 09:42:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 776 flow
2024-05-25 09:42:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 776 flow
2024-05-25 09:42:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 776 flow
2024-05-25 09:42:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 782 flow
2024-05-25 09:42:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 782 flow
2024-05-25 09:42:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 782 flow
2024-05-25 09:42:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 783 flow
2024-05-25 09:43:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 788 flow
2024-05-25 09:43:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 800 flow
2024-05-25 09:43:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 800 flow
2024-05-25 09:43:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 800 flow
2024-05-25 09:43:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 802 flow
2024-05-25 09:44:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 812 flow
2024-05-25 09:44:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 812 flow
2024-05-25 09:45:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 819 flow
2024-05-25 09:45:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 819 flow
2024-05-25 09:45:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 834 flow
2024-05-25 09:45:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 834 flow
2024-05-25 09:45:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 834 flow
2024-05-25 09:45:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 866 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 877 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 876 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 875 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 876 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 876 flow
2024-05-25 09:46:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 875 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 922 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 921 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 920 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 919 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 918 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 917 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 916 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 915 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 914 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 913 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 912 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 911 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 910 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 912 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 913 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 913 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 916 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 918 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 919 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 918 flow
2024-05-25 09:46:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 919 flow
2024-05-25 09:47:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 951 flow
2024-05-25 09:47:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 951 flow
2024-05-25 09:47:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 951 flow
2024-05-25 09:47:07 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 958 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 958 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 959 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 959 flow
2024-05-25 09:47:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 960 flow
